st_teff,st_rad,st_met
3412.0,0.38,0.37
5457.0,0.963518,-0.02
5964.0,1.09,-0.02
6170.0,1.35,0.0
4884.29,0.750598,-0.02
5862.0,1.149,0.32
6036.0,1.093,0.02
5888.0,1.019,0.1
5850.0,1.187,-0.04
5911.0,1.32,-0.049
5664.0,1.054,-0.34
3360.47,0.330989,-0.02
6085.0,1.17,0.02
5952.0,0.991,-0.02
4750.0,0.77,0.1
6329.0,1.39619,-0.02
6848.0,1.51554,-0.02
6149.0,1.5092,0.16
5859.45,0.98,-0.02
5673.0,0.890666,-0.1
4057.0,0.58,0.2
5640.0,1.088,0.143
5307.0,0.85,-0.02
3461.0,0.424,-0.07
5130.0,0.745,-0.01
6308.0,1.153,-0.08
5730.0,1.32,0.15
5596.0,0.948,-0.02
5802.0,1.368,0.326
3996.0,0.515,-0.02
3072.0,0.56,-0.02
5496.0,1.75896,-0.02
4494.0,0.659,-0.04
5523.0,1.12,-0.02
4450.0,0.707,0.14
5596.0,0.64,-0.02
5397.0,0.831,-0.02
4065.0,0.57,-0.13
5493.0,0.982,-0.02
6440.0,1.374,-0.03
6394.0,1.317,0.24
5468.0,1.306,0.14
5237.0,0.837,-0.12
6220.0,1.066,-0.1
6341.0,1.36,0.12
4219.0,0.73,-0.02
3551.0,0.374358,-0.02
5596.0,1.0711,-0.02
5032.0,0.728,-0.02
5229.0,0.877,0.07
5631.0,0.912206,-0.19
5615.0,0.936,0.24
6101.0,1.11672,-0.02
5809.9,1.04,-0.02
